Date,Open,High,Low,Close,Volume,hour_change,24hr_change
11/9/2015 18:00,372.92,380.99,372.92,377.91,14.00232729,1.32,-5.646
11/9/2015 17:00,377,380.86,372.92,372.92,9.670972155,-1.094,-7.062
11/9/2015 16:00,384,384,374.53,377,196.9470657,-1.857,-7.267
11/9/2015 15:00,383.37,384,383.37,384,19.90247411,0.164,-8.988
11/9/2015 14:00,379.74,383.37,378.22,383.37,6.73606442,0.947,-7.022
11/9/2015 13:00,385,385,379.74,379.74,7.72076135,-1.385,-2.365
11/9/2015 12:00,386.79,386.79,385,385,0.25974025,-0.465,-3.383
11/9/2015 11:00,371,386.79,371,386.79,17.45417672,4.082,0.63
11/9/2015 10:00,371,371,371,371,0,0,1.56
11/9/2015 9:00,370,371,370,371,0.14310935,0.27,1.862
11/9/2015 8:00,367.63,370,367.63,370,1.5,0.641,2.696
11/9/2015 7:00,367.63,367.63,367.63,367.63,0,0,3.016
11/9/2015 6:00,368,368,367.63,367.63,20,-0.101,2.478
11/9/2015 5:00,368,368,368,368,0,0,2.989
11/9/2015 4:00,369.07,373.09,368,368,125.830604,-0.291,1.927
11/9/2015 3:00,368.81,369.07,368.8,369.07,109.075956,0.07,1.997
11/9/2015 2:00,365,372.62,364.2,368.81,88.67178864,1.033,3.027
11/9/2015 1:00,369.5,369.5,361.43,365,20.91987871,-1.233,-0.06
11/9/2015 0:00,369.24,373.75,369.24,369.5,17.60442456,0.07,0.01
11/8/2015 23:00,377,377,369.24,369.24,5,-2.102,-0.173
11/8/2015 22:00,370,377,363.47,377,0.8201504,1.857,3.249
11/8/2015 21:00,383.86,383.86,370,370,12.50852073,-3.746,-1.296
11/8/2015 20:00,381.51,383.86,381.51,383.86,1.25,0.612,-0.668
11/8/2015 19:00,381.51,381.51,381.51,381.51,0,0,0.087
11/8/2015 18:00,384,384.32,381.51,381.51,0.518499734,-0.653,-1.861
11/8/2015 17:00,386.58,386.58,384,384,2.58,-0.672,-3.853
